MGnify_accession,Count
MGYG-HGUT-01354,50
MGYG-HGUT-01359,50
MGYG-HGUT-01361,50
MGYG-HGUT-01362,50
MGYG-HGUT-01364,50
MGYG-HGUT-02395,50
MGYG-HGUT-02396,50
MGYG-HGUT-02397,50
MGYG-HGUT-04130,50
MGYG-HGUT-04014,50
MGYG-HGUT-04016,50
MGYG-HGUT-04041,50
MGYG-HGUT-04052,50
MGYG-HGUT-04059,50
MGYG-HGUT-04083,50
MGYG-HGUT-04086,50
MGYG-HGUT-04099,50
MGYG-HGUT-04111,50
MGYG-HGUT-04114,50
MGYG-HGUT-04117,50
MGYG-HGUT-04137,50
MGYG-HGUT-03693,50
MGYG-HGUT-04138,50
MGYG-HGUT-04145,50
MGYG-HGUT-04155,50
MGYG-HGUT-04158,50
MGYG-HGUT-04163,50
MGYG-HGUT-04165,50
MGYG-HGUT-04191,50
MGYG-HGUT-04194,50
MGYG-HGUT-04196,50
MGYG-HGUT-04200,50
MGYG-HGUT-04205,50
MGYG-HGUT-04006,50
MGYG-HGUT-04000,50
MGYG-HGUT-03990,50
MGYG-HGUT-03987,50
MGYG-HGUT-03695,50
MGYG-HGUT-03697,50
MGYG-HGUT-03702,50
MGYG-HGUT-03703,50
MGYG-HGUT-03844,50
MGYG-HGUT-03852,50
MGYG-HGUT-03875,50
MGYG-HGUT-03891,50
MGYG-HGUT-03899,50
MGYG-HGUT-03912,50
MGYG-HGUT-03921,50
MGYG-HGUT-03928,50
MGYG-HGUT-03932,50
MGYG-HGUT-03937,50
MGYG-HGUT-03940,50
MGYG-HGUT-03942,50
MGYG-HGUT-03949,50
MGYG-HGUT-03958,50
MGYG-HGUT-03960,50
MGYG-HGUT-03961,50
MGYG-HGUT-03966,50
MGYG-HGUT-03971,50
MGYG-HGUT-03973,50
MGYG-HGUT-04207,50
MGYG-HGUT-04236,50
MGYG-HGUT-04237,50
MGYG-HGUT-04390,50
MGYG-HGUT-04402,50
MGYG-HGUT-04409,50
MGYG-HGUT-04431,50
MGYG-HGUT-04451,50
MGYG-HGUT-04463,50
MGYG-HGUT-04468,50
MGYG-HGUT-04474,50
MGYG-HGUT-04487,50
MGYG-HGUT-04491,50
MGYG-HGUT-04494,50
MGYG-HGUT-04498,50
MGYG-HGUT-04507,50
MGYG-HGUT-04518,50
MGYG-HGUT-04526,50
MGYG-HGUT-04533,50
MGYG-HGUT-04534,50
MGYG-HGUT-04544,50
MGYG-HGUT-04557,50
MGYG-HGUT-04593,50
MGYG-HGUT-04600,50
MGYG-HGUT-04632,50
MGYG-HGUT-04639,50
MGYG-HGUT-04643,50
MGYG-HGUT-04392,50
MGYG-HGUT-04389,50
MGYG-HGUT-04245,50
MGYG-HGUT-04388,50
MGYG-HGUT-04248,50
MGYG-HGUT-04250,50
MGYG-HGUT-04254,50
MGYG-HGUT-04256,50
MGYG-HGUT-04262,50
MGYG-HGUT-04275,50
MGYG-HGUT-04282,50
MGYG-HGUT-04289,50
MGYG-HGUT-04296,50
MGYG-HGUT-04308,50
MGYG-HGUT-04317,50
MGYG-HGUT-04319,50
MGYG-HGUT-04323,50
MGYG-HGUT-04328,50
MGYG-HGUT-04329,50
MGYG-HGUT-04337,50
MGYG-HGUT-04341,50
MGYG-HGUT-04345,50
MGYG-HGUT-04352,50
MGYG-HGUT-04356,50
MGYG-HGUT-04369,50
MGYG-HGUT-04371,50
MGYG-HGUT-04379,50
MGYG-HGUT-03694,50
MGYG-HGUT-03686,50
MGYG-HGUT-02412,50
MGYG-HGUT-02549,50
MGYG-HGUT-02510,50
MGYG-HGUT-02511,50
MGYG-HGUT-02514,50
MGYG-HGUT-02517,50
MGYG-HGUT-02528,50
MGYG-HGUT-02530,50
MGYG-HGUT-02538,50
MGYG-HGUT-02540,50
MGYG-HGUT-02544,50
MGYG-HGUT-02545,50
MGYG-HGUT-02547,50
MGYG-HGUT-02552,50
MGYG-HGUT-03684,50
MGYG-HGUT-02556,50
MGYG-HGUT-02558,50
MGYG-HGUT-02563,50
MGYG-HGUT-02570,50
MGYG-HGUT-02580,50
MGYG-HGUT-02581,50
